year,species,bb.doy,l75.doy,fbb.doy,fopn.doy,sd.bb.doy,sd.l75.doy,sd.fbb.doy,sd.fopn.doy
2014,BEPA,133,NA,NA,NA,0.159001972783273,3.2714157728692,3.53553390593274,4.12822670231948
2015,BEPA,128,NA,NA,NA,0.436804184817619,5.66427792386125,NA,NA
2016,BEPA,132,NA,NA,NA,3.17074580609148,1.19866166280852,2.75,4.14101933561721
2017,BEPA,123,NA,NA,NA,4.25485440504137,1.52904070123761,2.73861278752583,2.20414557897179
2018,BEPA,127,NA,NA,NA,5.38449599406523,3.75474812732038,NA,NA
2019,BEPA,130,NA,NA,NA,4.82946059024673,2.29938905468238,5.65685424949238,1.86408421698506
2020,BEPA,135,NA,NA,NA,4.11390418285394,0,NA,NA
2021,BEPA,127,NA,NA,NA,5.68613972791443,2.92840354155361,NA,NA
1990,BEPO,126,146,132,135,2.44312105114656,0.168327312618801,NA,NA
1991,BEPO,122,137,130,132,1.41558248074335,2.334819801478,0,3.88903603102804
1992,BEPO,136,161,143,143,1.4246647659524,0.803575896134869,3.18198051533946,0
1993,BEPO,118,142,134,134,0.452886518666867,0.24424443322269,NA,NA
1994,BEPO,128,144,134,137,4.89730463166495,4.50770806045174,NA,NA
1995,BEPO,130,145,134,135,4.39186694954767,0.34970858009376,NA,NA
1996,BEPO,117,146,118,131,2.77980410298376,2.73313541999182,NA,NA
1997,BEPO,135,152,136,144,3.92311376321634,1.50107449711743,NA,NA
1998,BEPO,120,138,124,124,0.865383162633646,1.51563286382477,NA,NA
1999,BEPO,127,143,131,129,1.24832516328523,5.75952121920816,0,7.09015271931425
2000,BEPO,127,146,128,129,0.0625215732584086,0.468396354281598,NA,NA
2001,BEPO,123,139,NA,NA,2.82034129918436,2.33222300914041,4.33012701892219,3.31033973143882
1990,CADE,128,164,NA,NA,0.405549855045887,0.721402768366291,6.06217782649107,5.35498429542839
1991,CADE,125,149,NA,NA,1.28391164234531,2.86551000937515,4.59619407771256,1.31994161494558
1992,CADE,135,166,NA,NA,2.50475129691727,3.45953308945987,NA,NA
1993,CADE,122,151,NA,NA,0.794997901192709,0.412316025690011,NA,NA
1994,CADE,132,157,NA,NA,1.11241180808609,0.321438207782811,4.24264068711928,11.3137297122943
1995,CADE,131,155,NA,NA,1.06172097003842,0.504981937856404,NA,NA
1996,CADE,130,163,NA,NA,2.28484181962324,2.18619164614016,NA,NA
1997,CADE,134,164,NA,NA,1.88571472157409,2.34393138212048,0,6.08884915529721
1998,CADE,122,150,NA,NA,2.42898720688775,3.0237957330596,8.48528137423857,NA
1999,CADE,126,151,NA,NA,2.82179450472004,0.432841661019775,0,4.19657598553538
2000,CADE,128,158,NA,NA,4.09719009711806,0.168327312618801,3.5,2.11912305943123
2001,CADE,123,151,NA,NA,2.00852174068476,0.505325462984183,NA,NA
1991,COAL,109,139,144,145,2.00264132679706,3.00711729076778,4.83692395364382,1.07534487230529
1992,COAL,120,159,160,160,2.18615723394347,3.46188282270796,0,2.30312901264776
1993,COAL,110,145,155,155,2.86513365691058,2.95297778549354,NA,NA
1994,COAL,115,140,159,155,4.59413608812283,2.91429404622037,2.25,0.779556220670925
1995,COAL,121,142,158,163,6.11109957439567,3.04128003355145,0,0.992227330838882
