"chillutah","chillports","gdd","siteslist","year","lat","long","lat.long","cc","lo"
1704,98.9342787655055,240.765885386343,26,1955,49.95,11.1667,"49.95 11.1667","1950-1960",121
2016,100.968308750021,280.131458608236,26,1956,49.95,11.1667,"49.95 11.1667","1950-1960",124
2628,125.234209027437,260.97655758063,26,1957,49.95,11.1667,"49.95 11.1667","1950-1960",114
2172,111.167048915622,328.02656489949,26,1958,49.95,11.1667,"49.95 11.1667","1950-1960",124
2640,118.274896574242,429.598435751592,26,1959,49.95,11.1667,"49.95 11.1667","1950-1960",105
2532,116.341725682235,359.002874449686,26,1960,49.95,11.1667,"49.95 11.1667","1950-1960",113
2136,116.737126356242,264.109922732755,27,1951,49.7667,11.55,"49.7667 11.55","1950-1960",121
1956,102.642990065912,352.983039043994,27,1952,49.7667,11.55,"49.7667 11.55","1950-1960",114
1968,103.827855181867,394.018662861888,27,1953,49.7667,11.55,"49.7667 11.55","1950-1960",115
1992,109.939555165212,220.460426148486,27,1954,49.7667,11.55,"49.7667 11.55","1950-1960",130
1848,96.3995640051377,240.976299129413,27,1956,49.7667,11.55,"49.7667 11.55","1950-1960",127
2520,120.275563868312,215.18028565087,27,1957,49.7667,11.55,"49.7667 11.55","1950-1960",114
1920,104.11910110559,295.571064719768,27,1958,49.7667,11.55,"49.7667 11.55","1950-1960",129
2448,116.442970400966,360.106862407707,27,1959,49.7667,11.55,"49.7667 11.55","1950-1960",106
2448,116.442970400966,360.106862407707,27,1959,49.7667,11.55,"49.7667 11.55","1950-1960",116
2472,108.908572299709,309.795218601176,27,1960,49.7667,11.55,"49.7667 11.55","1950-1960",116
1980,109.122062992583,255.710267527158,28,1951,49.3167,12.85,"49.3167 12.85","1950-1960",122
1872,98.1305971860499,346.301052051065,28,1952,49.3167,12.85,"49.3167 12.85","1950-1960",108
1860,99.6142960471738,353.837790299151,28,1953,49.3167,12.85,"49.3167 12.85","1950-1960",106
1812,102.60655440466,200.596111075731,28,1954,49.3167,12.85,"49.3167 12.85","1950-1960",127
1608,95.7021582876448,208.875379537729,28,1955,49.3167,12.85,"49.3167 12.85","1950-1960",116
1644,93.0593336449278,245.771602563651,28,1956,49.3167,12.85,"49.3167 12.85","1950-1960",125
2472,117.865306446619,215.371738734351,28,1957,49.3167,12.85,"49.3167 12.85","1950-1960",110
2412,109.791356370786,325.400640884041,28,1959,49.3167,12.85,"49.3167 12.85","1950-1960",113
2364,109.20329159974,274.957974774971,28,1960,49.3167,12.85,"49.3167 12.85","1950-1960",119
3012,129.704505515133,247.596484065237,29,1951,53.3333,8.48333,"53.3333 8.48333","1950-1960",123
2664,130.953427123767,370.57237852686,29,1952,53.3333,8.48333,"53.3333 8.48333","1950-1960",111
