"","lon","lat","minforce","minchill","minphoto","maxforce","maxchill","maxphoto","species"
"147",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Syringa_josikaea"
"148",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Syringa_reticulata"
"149",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Syringa_villosa"
"150",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Tilia_dasystyla"
"151",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Viburnum_buddleifolium"
"152",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Viburnum_carlesii"
"153",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Viburnum_opulus"
"154",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Sambucus_pubens"
"155",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Sambucus_tigranii"
"156",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Sorbus_aria"
"157",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Sorbus_commixta"
"158",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Salix_repens"
"159",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Sambucus_nigra"
"160",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Viburnum_plicatum"
"161",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Weigela_coraeensis"
"162",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Weigela_florida"
"163",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Weigela_maximowiczii"
"164",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Aesculus_flava"
"165",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Tilia_japonica"
"166",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Tilia_platyphyllos"
"167",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Toona_sinensis"
"168",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Ulmus_americana"
"169",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Ulmus_laevis"
"170",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Viburnum_betulifolium"
"171",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Prunus_tenella"
"172",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Ptelea_trifoliata"
"173",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Oemleria_cerasiformis"
"174",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Orixa_japonica"
"175",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Ostrya_virginiana"
"176",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Sinowilsonia_henryi"
"177",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Sorbus_decora"
"178",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,2223.5,16,"Larix_kaempferi"
"179",11.50293,48.16447,15.3333333333333,1067.5,8,16.6666666666667,1650,16,"Ligustrum_tschonoskii"
