"datasetID","genus","species","study","prov.lat","prov.long","field.sample","force","photo","chill","chilltime","spp","wein","gen.spa"
"laube14b","Populus","tremula","exp1",1,1,"1","1","1","0","0","9",0,"Populus_tremula"
"laube14b","Betula","pendula","exp1",1,1,"1","1","1","0","0","9",0,"Betula_pendula"
"laube14b","Larix","decidua","exp1",1,1,"1","1","1","0","0","9",0,"Larix_decidua"
"laube14b","Cornus","mas","exp1",1,1,"1","1","1","0","0","9",0,"Cornus_mas"
"linkosalo06","Betula","pendula","exp1",1,1,"0","1","2","0","1","1",0,"Betula_pendula"
"morin10","Quercus","robur","exp1",1,1,"1","3","1","0","0","3",0,"Quercus_robur"
"morin10","Quercus","pubescens","exp1",1,1,"1","3","2","0","0","3",0,"Quercus_pubescens"
"morin10","Quercus","ilex","exp1",1,1,"1","3","2","0","0","3",0,"Quercus_ilex"
"myking95","Betula","pubescens","exp1",3,3,"0","1","2","0","4","2",0,"Betula_pubescens"
"myking95","Betula","pendula","exp1",3,3,"0","1","2","0","4","2",0,"Betula_pendula"
"myking95","Betula","pubescens","exp1",3,3,"0","1","2","3","4","2",0,"Betula_pubescens"
"myking95","Betula","pendula","exp1",3,3,"0","1","2","3","4","2",0,"Betula_pendula"
"myking97","Betula","pubescens","exp1",1,1,"0","6","1","0","1","1",0,"Betula_pubescens"
"myking98","Alnus","glutinosa","exp1",1,1,"6","1","1","0","0","3",1,"Alnus_glutinosa"
"myking98","Betula","pendula","exp1",1,1,"6","1","1","0","0","3",1,"Betula_pendula"
"myking98","Prunus","padus","exp1",1,1,"6","1","1","0","0","3",1,"Prunus_padus"
"nienstaedt66","Picea","jezoensis","exp1",3,3,"1","1","2","1","0","7",0,"Picea_jezoensis"
"nienstaedt66","Picea","glauca","exp1",3,3,"1","1","2","1","0","7",0,"Picea_glauca"
"nienstaedt66","Picea","glehnii","exp1",1,1,"1","1","2","1","0","7",0,"Picea_glehnii"
"nienstaedt66","Picea","abies","exp1",2,2,"1","1","2","1","0","7",0,"Picea_abies"
"nienstaedt66","Picea","engelmannii","exp1",3,3,"1","1","1","1","0","7",0,"Picea_engelmannii"
"nienstaedt66","Picea","pungens","exp1",1,1,"1","1","2","1","0","7",0,"Picea_pungens"
"nienstaedt66","Picea","breweriana","exp1",1,1,"1","1","1","1","0","7",0,"Picea_breweriana"
"nienstaedt66","Picea","abies","exp1",2,2,"1","1","2","1","5","7",0,"Picea_abies"
"nienstaedt66","Picea","pungens","exp1",1,1,"1","1","2","1","5","7",0,"Picea_pungens"
"nienstaedt66","Picea","engelmannii","exp1",3,3,"1","1","1","1","5","7",0,"Picea_engelmannii"
"nienstaedt66","Picea","glehnii","exp1",1,1,"1","1","2","1","5","7",0,"Picea_glehnii"
"nienstaedt66","Picea","breweriana","exp1",1,1,"1","1","1","1","5","7",0,"Picea_breweriana"
"nienstaedt66","Picea","jezoensis","exp1",3,3,"1","1","2","1","5","7",0,"Picea_jezoensis"
"nienstaedt66","Picea","glauca","exp1",3,3,"1","1","2","1","5","7",0,"Picea_glauca"
"nishimoto95","Prunus","persica","exp1",1,1,"5","2","1","0","0","3",1,"Prunus_persica"
"nishimoto95","Pyrus","pyrifolia","exp1",1,1,"5","2","1","0","0","3",1,"Pyrus_pyrifolia"
"nishimoto95","Vitis","vinifera","exp1",1,1,"6","1","2","0","0","3",1,"Vitis_vinifera"
"pagter15","Ribes","nigrum","exp1",2,2,"4","1","1","0","4","1",1,"Ribes_nigrum"
"pagter15","Ribes","nigrum","exp1",2,2,"4","1","1","2","4","1",1,"Ribes_nigrum"
"partanen01","Picea","abies","exp1",3,3,"1","1","2","1","1","1",0,"Picea_abies"
"partanen98","Picea","abies","exp1",3,3,"2","2","3","0","2","1",1,"Picea_abies"
"partanen98","Picea","abies","exp2",2,2,"2","1","4","0","2","1",1,"Picea_abies"
"partanen98","Picea","abies","exp3",2,2,"2","2","5","0","2","1",1,"Picea_abies"
