daysfromstart,sp,strat,temp,individual,location,origin,germinated,uniqind
39,RUMCRI,30,25.3,EU05,"Europe--Grenoble, France",Europe,1,RUMCRI_EU05
14,TAROFF,30,25.3,EU01,"Europe--Grenoble, France",Europe,1,TAROFF_EU01
14,TAROFF,30,25.3,EU11,"Europe--Arna, Norway",Europe,1,TAROFF_EU11
10,PLAMAJ,30,25.3,US25,USA--Walden,USA,1,PLAMAJ_US25
10,DACGLO,30,11.3,US01,USA--Harvard Forest,USA,1,DACGLO_US01
NA,DACGLO,30,11.3,US22,USA--Arnold Arboretum ,USA,0,DACGLO_US22
10,CAPBUR,30,11.3,EU07,"Europe--Leer, Germany",Europe,1,CAPBUR_EU07
49,PLALAN,30,11.3,EU54,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU54
10,PLALAN,30,11.3,EU60,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU60
10,PLALAN,30,11.3,EU64,"Europe--Schaan, Liechtenstein",Europe,1,PLALAN_EU64
24,PLALAN,30,11.3,EU76,"Europe--Le Tretien, Switzerland",Europe,1,PLALAN_EU76
49,CHEMAJ,30,11.3,US06,USA--Walden,USA,1,CHEMAJ_US06
36,CHEMAJ,30,11.3,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
10,RUMCRI,30,11.3,US01,USA--Walden,USA,1,RUMCRI_US01
10,RUMCRI,30,11.3,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
8,TAROFF,30,11.3,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
10,DACGLO,30,11.3,US01,USA--Harvard Forest,USA,1,DACGLO_US01
NA,DACGLO,30,11.3,US22,USA--Arnold Arboretum ,USA,0,DACGLO_US22
10,CAPBUR,30,11.3,EU07,"Europe--Leer, Germany",Europe,1,CAPBUR_EU07
36,PLALAN,30,11.3,EU57,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU57
NA,PLALAN,30,11.3,EU60,"Europe--Divaca Kras, Slovenia",Europe,0,PLALAN_EU60
12,PLALAN,30,11.3,EU70,"Europe--Schaan, Liechtenstein",Europe,1,PLALAN_EU70
10,PLALAN,30,11.3,EU77,"Europe--Grenoble, France",Europe,1,PLALAN_EU77
49,CHEMAJ,30,11.3,US06,USA--Walden,USA,1,CHEMAJ_US06
33,CHEMAJ,30,11.3,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
10,RUMCRI,30,11.3,US01,USA--Walden,USA,1,RUMCRI_US01
8,TAROFF,30,11.3,US02,USA--Harvard Forest,USA,1,TAROFF_US02
NA,TAROFF,30,11.3,US21,USA--Arnold Arboretum ,USA,0,TAROFF_US21
10,DACGLO,30,11.3,US01,USA--Harvard Forest,USA,1,DACGLO_US01
12,DACGLO,30,11.3,US22,USA--Arnold Arboretum ,USA,1,DACGLO_US22
10,CAPBUR,30,11.3,EU07,"Europe--Leer, Germany",Europe,1,CAPBUR_EU07
10,PLALAN,30,11.3,EU60,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU60
10,PLALAN,30,11.3,EU61,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU61
22,PLALAN,30,11.3,EU73,"Europe--Le Tretien, Switzerland",Europe,1,PLALAN_EU73
36,PLALAN,30,11.3,EU78,"Europe--Grenoble, France",Europe,1,PLALAN_EU78
49,CHEMAJ,30,11.3,US06,USA--Walden,USA,1,CHEMAJ_US06
33,CHEMAJ,30,11.3,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
10,RUMCRI,30,11.3,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
6,TAROFF,30,11.3,US02,USA--Harvard Forest,USA,1,TAROFF_US02
6,TAROFF,30,11.3,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
10,DACGLO,30,11.3,US01,USA--Harvard Forest,USA,1,DACGLO_US01
6,CAPBUR,30,11.3,EU07,"Europe--Leer, Germany",Europe,1,CAPBUR_EU07
10,PLALAN,30,11.3,EU60,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU60
8,PLALAN,30,11.3,EU61,"Europe--Schaan, Liechtenstein",Europe,1,PLALAN_EU61
10,PLALAN,30,11.3,EU74,"Europe--Le Tretien, Switzerland",Europe,1,PLALAN_EU74
10,PLALAN,30,11.3,EU79,"Europe--Grenoble, France",Europe,1,PLALAN_EU79
24,CHEMAJ,30,11.3,US06,USA--Walden,USA,1,CHEMAJ_US06
10,RUMCRI,30,11.3,US01,USA--Walden,USA,1,RUMCRI_US01
10,RUMCRI,30,11.3,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
8,TAROFF,30,11.3,US02,USA--Harvard Forest,USA,1,TAROFF_US02
6,TAROFF,30,11.3,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
6,TAROFF,30,11.3,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
8,CAPBUR,30,11.3,EU07,"Europe--Leer, Germany",Europe,1,CAPBUR_EU07
10,PLALAN,30,11.3,EU60,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU60
8,PLALAN,30,11.3,EU62,"Europe--Schaan, Liechtenstein",Europe,1,PLALAN_EU62
10,PLALAN,30,11.3,EU74,"Europe--Le Tretien, Switzerland",Europe,1,PLALAN_EU74
10,PLALAN,30,11.3,EU80,"Europe--Grenoble, France",Europe,1,PLALAN_EU80
NA,CHEMAJ,30,11.3,US20,USA--Arnold Arboretum ,USA,0,CHEMAJ_US20
14,RUMCRI,30,11.3,US01,USA--Walden,USA,1,RUMCRI_US01
10,RUMCRI,30,11.3,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
6,TAROFF,30,11.3,US02,USA--Harvard Forest,USA,1,TAROFF_US02
6,DACGLO,30,11.3,US01,USA--Harvard Forest,USA,1,DACGLO_US01
16,PLALAN,30,11.3,EU60,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU60
NA,PLALAN,30,11.3,EU63,"Europe--Schaan, Liechtenstein",Europe,0,PLALAN_EU63
8,PLALAN,30,11.3,EU75,"Europe--Le Tretien, Switzerland",Europe,1,PLALAN_EU75
39,CHEMAJ,30,11.3,US06,USA--Walden,USA,1,CHEMAJ_US06
49,CHEMAJ,30,11.3,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
10,RUMCRI,30,11.3,US01,USA--Walden,USA,1,RUMCRI_US01
10,RUMCRI,30,11.3,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
6,TAROFF,30,11.3,US02,USA--Harvard Forest,USA,1,TAROFF_US02
4,DACGLO,30,11.3,US01,USA--Harvard Forest,USA,1,DACGLO_US01
6,DACGLO,30,16,US01,USA--Harvard Forest,USA,1,DACGLO_US01
6,DACGLO,30,16,US22,USA--Arnold Arboretum ,USA,1,DACGLO_US22
8,CAPBUR,30,16,EU07,"Europe--Leer, Germany",Europe,1,CAPBUR_EU07
6,PLALAN,30,16,EU54,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU54
6,PLALAN,30,16,EU60,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU60
8,PLALAN,30,16,EU64,"Europe--Schaan, Liechtenstein",Europe,1,PLALAN_EU64
12,PLALAN,30,16,EU76,"Europe--Le Tretien, Switzerland",Europe,1,PLALAN_EU76
18,CHEMAJ,30,16,US06,USA--Walden,USA,1,CHEMAJ_US06
18,CHEMAJ,30,16,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
12,RUMCRI,30,16,US01,USA--Walden,USA,1,RUMCRI_US01
8,RUMCRI,30,16,US24,USA--Arnold Arboretum ,USA,1,RUMCRI_US24
4,TAROFF,30,16,US21,USA--Arnold Arboretum ,USA,1,TAROFF_US21
NA,DACGLO,30,16,US01,USA--Harvard Forest,USA,0,DACGLO_US01
6,DACGLO,30,16,US22,USA--Arnold Arboretum ,USA,1,DACGLO_US22
6,CAPBUR,30,16,EU07,"Europe--Leer, Germany",Europe,1,CAPBUR_EU07
8,PLALAN,30,16,EU57,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU57
6,PLALAN,30,16,EU60,"Europe--Divaca Kras, Slovenia",Europe,1,PLALAN_EU60
10,PLALAN,30,16,EU70,"Europe--Schaan, Liechtenstein",Europe,1,PLALAN_EU70
6,PLALAN,30,16,EU77,"Europe--Grenoble, France",Europe,1,PLALAN_EU77
18,CHEMAJ,30,16,US06,USA--Walden,USA,1,CHEMAJ_US06
14,CHEMAJ,30,16,US20,USA--Arnold Arboretum ,USA,1,CHEMAJ_US20
12,RUMCRI,30,16,US01,USA--Walden,USA,1,RUMCRI_US01
8,TAROFF,30,16,US02,USA--Harvard Forest,USA,1,TAROFF_US02
