Lat	Lon	MeanFitness
43.8800	-7.7600	 0.849
52.0100	-7.7600	 0.996
52.1800	-7.7600	 0.984
52.3400	-7.7600	 0.949
52.5100	-7.7600	 0.998
52.6700	-7.7600	 0.942
52.8400	-7.7600	 0.947
53.0100	-7.7600	 0.946
53.1700	-7.7600	 0.947
53.3400	-7.7600	 0.947
53.5100	-7.7600	 0.942
53.6700	-7.7600	 0.947
53.8400	-7.7600	 0.992
54.0000	-7.7600	 0.990
54.1700	-7.7600	 0.743
54.3400	-7.7600	 0.693
54.5000	-7.7600	 0.725
54.6700	-7.7600	 0.609
54.8300	-7.7600	 0.409
55.0000	-7.7600	 0.514
55.1600	-7.7600	 0.777
37.2400	-7.6000	 0.000
37.4000	-7.6000	 0.000
37.5700	-7.6000	 0.000
37.7300	-7.6000	 0.000
37.9000	-7.6000	 0.000
38.0700	-7.6000	 0.000
38.2300	-7.6000	 0.000
38.4000	-7.6000	 0.000
38.5600	-7.6000	 0.000
38.7300	-7.6000	 0.000
38.9000	-7.6000	 0.000
39.0600	-7.6000	 0.000
39.2300	-7.6000	 0.000
39.4000	-7.6000	 0.000
39.5600	-7.6000	 0.000
39.7300	-7.6000	 0.000
39.8900	-7.6000	 0.000
40.0600	-7.6000	 0.000
40.2300	-7.6000	 0.000
40.3900	-7.6000	 0.000
40.5600	-7.6000	 0.000
40.7200	-7.6000	 0.000
40.8900	-7.6000	 0.000
41.0500	-7.6000	 0.050
41.2200	-7.6000	 0.200
41.3900	-7.6000	 0.150
41.5500	-7.6000	 0.000
41.7200	-7.6000	 0.294
41.8800	-7.6000	 0.050
42.0500	-7.6000	 0.195
42.2200	-7.6000	 0.499
42.3800	-7.6000	 0.249
42.5500	-7.6000	 0.299
42.7200	-7.6000	 0.349
42.8800	-7.6000	 0.498
43.0500	-7.6000	 0.698
43.2100	-7.6000	 0.749
43.3800	-7.6000	 0.694
43.5500	-7.6000	 0.798
43.7100	-7.6000	 0.848
43.8800	-7.6000	 0.849
52.0100	-7.6000	 0.989
52.1800	-7.6000	 0.956
52.3400	-7.6000	 0.937
52.5100	-7.6000	 0.998
52.6700	-7.6000	 0.948
52.8400	-7.6000	 0.947
53.0100	-7.6000	 0.947
53.1700	-7.6000	 0.941
53.3400	-7.6000	 0.848
53.5100	-7.6000	 0.892
53.6700	-7.6000	 0.947
53.8400	-7.6000	 0.937
54.0000	-7.6000	 0.990
54.1700	-7.6000	 0.919
54.3400	-7.6000	 0.663
54.5000	-7.6000	 0.876
54.6700	-7.6000	 0.729
54.8300	-7.6000	 0.815
55.0000	-7.6000	 0.855
55.1600	-7.6000	 0.878
55.3300	-7.6000	 0.962
37.4000	-7.4300	 0.000
37.5700	-7.4300	 0.000
37.7300	-7.4300	 0.000
37.9000	-7.4300	 0.000
38.0700	-7.4300	 0.000
38.2300	-7.4300	 0.000
38.4000	-7.4300	 0.000
38.5600	-7.4300	 0.000
38.7300	-7.4300	 0.000
38.9000	-7.4300	 0.000
39.0600	-7.4300	 0.000
39.2300	-7.4300	 0.000
39.4000	-7.4300	 0.000
39.5600	-7.4300	 0.000
39.7300	-7.4300	 0.000
39.8900	-7.4300	 0.000
40.0600	-7.4300	 0.000
40.2300	-7.4300	 0.000
40.3900	-7.4300	 0.000
40.5600	-7.4300	 0.000
40.7200	-7.4300	 0.150
40.8900	-7.4300	 0.000
41.0500	-7.4300	 0.000
41.2200	-7.4300	 0.100
41.3900	-7.4300	 0.100
41.5500	-7.4300	 0.000
41.7200	-7.4300	 0.200
41.8800	-7.4300	 0.050
42.0500	-7.4300	 0.049
42.2200	-7.4300	 0.150
42.3800	-7.4300	 0.100
42.5500	-7.4300	 0.337
42.7200	-7.4300	 0.299
42.8800	-7.4300	 0.299
43.0500	-7.4300	 0.444
43.2100	-7.4300	 0.511
43.3800	-7.4300	 0.549
43.5500	-7.4300	 0.798
43.7100	-7.4300	 0.848
43.8800	-7.4300	 0.849
52.1800	-7.4300	 0.983
52.3400	-7.4300	 0.890
52.5100	-7.4300	 0.997
52.6700	-7.4300	 0.947
52.8400	-7.4300	 0.947
53.0100	-7.4300	 0.947
53.1700	-7.4300	 0.947
53.3400	-7.4300	 0.898
53.5100	-7.4300	 0.997
53.6700	-7.4300	 0.997
53.8400	-7.4300	 0.947
54.0000	-7.4300	 0.996
54.1700	-7.4300	 0.966
54.3400	-7.4300	 0.902
54.5000	-7.4300	 0.835
